,Condition,Drug,DrugClass,Filename,Plate,Well
62,Monastrol30.0,Monastrol,MT,Week1_22361/MT/Monastrol/FL_Week1_22361_F03_0.png,Week1_22361,F03
63,Epothiloneb0.003,Epothiloneb,Inactive,Week1_22361/Inactive/Epothiloneb/FL_Week1_22361_D09_0.png,Week1_22361,D09
64,Monastrol10.0,Monastrol,Inactive,Week1_22361/Inactive/Monastrol/FL_Week1_22361_F04_0.png,Week1_22361,F04
65,Epothiloneb1.0,Epothiloneb,MT,Week1_22361/MT/Epothiloneb/FL_Week1_22361_D04_0.png,Week1_22361,D04
66,Latrunculinb10.0,Latrunculinb,Actin,Week1_22361/Actin/Latrunculinb/FL_Week1_22361_B04_0.png,Week1_22361,B04
67,Epothiloneb0.001,Epothiloneb,Inactive,Week1_22361/Inactive/Epothiloneb/FL_Week1_22361_D10_0.png,Week1_22361,D10
68,Monastrol0.03,Monastrol,Inactive,Week1_22361/Inactive/Monastrol/FL_Week1_22361_F09_0.png,Week1_22361,F09
69,Dmso0.0,Dmso,Inactive,Week1_22361/Inactive/Dmso/FL_Week1_22361_F11_0.png,Week1_22361,F11
70,Latrunculinb0.03,Latrunculinb,Inactive,Week1_22361/Inactive/Latrunculinb/FL_Week1_22361_B09_0.png,Week1_22361,B09
71,Dmso0.0,Dmso,Inactive,Week1_22361/Inactive/Dmso/FL_Week1_22361_G11_0.png,Week1_22361,G11
72,Epothiloneb0.01,Epothiloneb,Inactive,Week1_22361/Inactive/Epothiloneb/FL_Week1_22361_D08_0.png,Week1_22361,D08
73,Colchicine3.0,Colchicine,MT,Week1_22361/MT/Colchicine/FL_Week1_22361_E03_0.png,Week1_22361,E03
74,Latrunculinb3.0,Latrunculinb,Actin,Week1_22361/Actin/Latrunculinb/FL_Week1_22361_B05_0.png,Week1_22361,B05
75,Doxorubicin0.03,Doxorubicin,Inactive,Week1_22361/Inactive/Doxorubicin/FL_Week1_22361_C08_0.png,Week1_22361,C08
76,Doxorubicin3.0,Doxorubicin,DNA,Week1_22361/DNA/Doxorubicin/FL_Week1_22361_C04_0.png,Week1_22361,C04
77,Azi0.03,Azi,Inactive,Week1_22361/Inactive/Azi/FL_Week1_22361_G09_0.png,Week1_22361,G09
78,Taxol0.3,Taxol,MT,Week1_22361/MT/Taxol/FL_Week1_22361_B11_0.png,Week1_22361,B11
79,Doxorubicin0.003,Doxorubicin,Inactive,Week1_22361/Inactive/Doxorubicin/FL_Week1_22361_C10_0.png,Week1_22361,C10
80,Azi0.3,Azi,Inactive,Week1_22361/Inactive/Azi/FL_Week1_22361_G07_0.png,Week1_22361,G07
81,Dmso0.0,Dmso,Inactive,Week1_22361/Inactive/Dmso/FL_Week1_22361_B02_0.png,Week1_22361,B02
82,Colchicine0.1,Colchicine,Inactive,Week1_22361/Inactive/Colchicine/FL_Week1_22361_E06_0.png,Week1_22361,E06
83,Monastrol1.0,Monastrol,Inactive,Week1_22361/Inactive/Monastrol/FL_Week1_22361_F06_0.png,Week1_22361,F06
84,Monastrol0.01,Monastrol,Inactive,Week1_22361/Inactive/Monastrol/FL_Week1_22361_F10_0.png,Week1_22361,F10
85,Azi10.0,Azi,Unknown,Week1_22361/Unknown/Azi/FL_Week1_22361_G04_0.png,Week1_22361,G04
86,Epothiloneb0.1,Epothiloneb,MT,Week1_22361/MT/Epothiloneb/FL_Week1_22361_D06_0.png,Week1_22361,D06
87,Latrunculinb0.01,Latrunculinb,Inactive,Week1_22361/Inactive/Latrunculinb/FL_Week1_22361_B10_0.png,Week1_22361,B10
88,Taxol0.3,Taxol,MT,Week1_22361/MT/Taxol/FL_Week1_22361_F02_0.png,Week1_22361,F02
89,Doxorubicin0.01,Doxorubicin,Inactive,Week1_22361/Inactive/Doxorubicin/FL_Week1_22361_C09_0.png,Week1_22361,C09
90,Doxorubicin0.3,Doxorubicin,Inactive,Week1_22361/Inactive/Doxorubicin/FL_Week1_22361_C06_0.png,Week1_22361,C06
91,Taxol0.3,Taxol,MT,Week1_22361/MT/Taxol/FL_Week1_22361_G02_0.png,Week1_22361,G02
92,Taxol0.3,Taxol,MT,Week1_22361/MT/Taxol/FL_Week1_22361_E02_0.png,Week1_22361,E02
93,Azi0.01,Azi,Inactive,Week1_22361/Inactive/Azi/FL_Week1_22361_G10_0.png,Week1_22361,G10
94,Colchicine0.3,Colchicine,Inactive,Week1_22361/Inactive/Colchicine/FL_Week1_22361_E05_0.png,Week1_22361,E05
95,Latrunculinb30.0,Latrunculinb,Actin,Week1_22361/Actin/Latrunculinb/FL_Week1_22361_B03_0.png,Week1_22361,B03
96,Colchicine0.003,Colchicine,Inactive,Week1_22361/Inactive/Colchicine/FL_Week1_22361_E09_0.png,Week1_22361,E09
97,Taxol0.3,Taxol,MT,Week1_22361/MT/Taxol/FL_Week1_22361_C11_0.png,Week1_22361,C11
98,Dmso0.0,Dmso,Inactive,Week1_22361/Inactive/Dmso/FL_Week1_22361_D02_0.png,Week1_22361,D02
99,Dmso0.0,Dmso,Inactive,Week1_22361/Inactive/Dmso/FL_Week1_22361_C02_0.png,Week1_22361,C02
100,Unknown0.03,Unknown,Inactive,Week8_38341/Inactive/Unknown/FL_Week8_38341_G08_0.png,Week8_38341,G08
101,Bohemine0.2,Bohemine,Inactive,Week8_38341/Inactive/Bohemine/FL_Week8_38341_F07_0.png,Week8_38341,F07
102,Unknown1.0,Unknown,Inactive,Week8_38341/Inactive/Unknown/FL_Week8_38341_G05_0.png,Week8_38341,G05
103,Bohemine0.06,Bohemine,Inactive,Week8_38341/Inactive/Bohemine/FL_Week8_38341_F08_0.png,Week8_38341,F08
104,Pp20.1,Pp2,Inactive,Week8_38341/Inactive/Pp2/FL_Week8_38341_E08_0.png,Week8_38341,E08
105,Bohemine2.0,Bohemine,Inactive,Week8_38341/Inactive/Bohemine/FL_Week8_38341_F05_0.png,Week8_38341,F05
106,Taxol0.3,Taxol,MT,Week8_38341/MT/Taxol/FL_Week8_38341_D11_0.png,Week8_38341,D11
107,Calpeptin1.5,Calpeptin,Inactive,Week8_38341/Inactive/Calpeptin/FL_Week8_38341_B06_0.png,Week8_38341,B06
108,Unknown10.0,Unknown,Inactive,Week8_38341/Inactive/Unknown/FL_Week8_38341_G03_0.png,Week8_38341,G03
109,Pp20.3,Pp2,Inactive,Week8_38341/Inactive/Pp2/FL_Week8_38341_E07_0.png,Week8_38341,E07
110,Cyclophosphamide0.05,Cyclophosphamide,Inactive,Week8_38341/Inactive/Cyclophosphamide/FL_Week8_38341_C07_0.png,Week8_38341,C07
111,Cyclophosphamide0.5,Cyclophosphamide,Inactive,Week8_38341/Inactive/Cyclophosphamide/FL_Week8_38341_C05_0.png,Week8_38341,C05
112,Filipin0.1,Filipin,Inactive,Week8_38341/Inactive/Filipin/FL_Week8_38341_D07_0.png,Week8_38341,D07
113,Calpeptin0.15,Calpeptin,Inactive,Week8_38341/Inactive/Calpeptin/FL_Week8_38341_B08_0.png,Week8_38341,B08
114,Pp210.0,Pp2,Inactive,Week8_38341/Inactive/Pp2/FL_Week8_38341_E04_0.png,Week8_38341,E04
115,Unknown0.3,Unknown,Inactive,Week8_38341/Inactive/Unknown/FL_Week8_38341_G06_0.png,Week8_38341,G06
116,Pp20.01,Pp2,Inactive,Week8_38341/Inactive/Pp2/FL_Week8_38341_E10_0.png,Week8_38341,E10
117,Calpeptin0.5,Calpeptin,Inactive,Week8_38341/Inactive/Calpeptin/FL_Week8_38341_B07_0.png,Week8_38341,B07
118,Cyclophosphamide5.0,Cyclophosphamide,Inactive,Week8_38341/Inactive/Cyclophosphamide/FL_Week8_38341_C03_0.png,Week8_38341,C03
119,Bohemine20.0,Bohemine,Inactive,Week8_38341/Inactive/Bohemine/FL_Week8_38341_F03_0.png,Week8_38341,F03
120,Filipin0.01,Filipin,Inactive,Week8_38341/Inactive/Filipin/FL_Week8_38341_D09_0.png,Week8_38341,D09
121,Bohemine6.0,Bohemine,Inactive,Week8_38341/Inactive/Bohemine/FL_Week8_38341_F04_0.png,Week8_38341,F04
122,Calpeptin15.0,Calpeptin,Inactive,Week8_38341/Inactive/Calpeptin/FL_Week8_38341_B04_0.png,Week8_38341,B04
123,Filipin0.003,Filipin,Inactive,Week8_38341/Inactive/Filipin/FL_Week8_38341_D10_0.png,Week8_38341,D10
124,Bohemine0.02,Bohemine,Inactive,Week8_38341/Inactive/Bohemine/FL_Week8_38341_F09_0.png,Week8_38341,F09
125,Dmso0.0,Dmso,Inactive,Week8_38341/Inactive/Dmso/FL_Week8_38341_F11_0.png,Week8_38341,F11
126,Calpeptin0.05,Calpeptin,Inactive,Week8_38341/Inactive/Calpeptin/FL_Week8_38341_B09_0.png,Week8_38341,B09
127,Dmso0.0,Dmso,Inactive,Week8_38341/Inactive/Dmso/FL_Week8_38341_G11_0.png,Week8_38341,G11
128,Filipin0.03,Filipin,Inactive,Week8_38341/Inactive/Filipin/FL_Week8_38341_D08_0.png,Week8_38341,D08
129,Pp230.0,Pp2,Epithelial,Week8_38341/Epithelial/Pp2/FL_Week8_38341_E03_0.png,Week8_38341,E03
130,Calpeptin5.0,Calpeptin,Inactive,Week8_38341/Inactive/Calpeptin/FL_Week8_38341_B05_0.png,Week8_38341,B05
131,Cyclophosphamide0.015,Cyclophosphamide,Inactive,Week8_38341/Inactive/Cyclophosphamide/FL_Week8_38341_C08_0.png,Week8_38341,C08
132,Cyclophosphamide1.5,Cyclophosphamide,Inactive,Week8_38341/Inactive/Cyclophosphamide/FL_Week8_38341_C04_0.png,Week8_38341,C04
133,Unknown0.01,Unknown,Inactive,Week8_38341/Inactive/Unknown/FL_Week8_38341_G09_0.png,Week8_38341,G09
134,Taxol0.3,Taxol,MT,Week8_38341/MT/Taxol/FL_Week8_38341_B11_0.png,Week8_38341,B11
135,Cyclophosphamide0.0015,Cyclophosphamide,Inactive,Week8_38341/Inactive/Cyclophosphamide/FL_Week8_38341_C10_0.png,Week8_38341,C10
136,Unknown0.1,Unknown,Inactive,Week8_38341/Inactive/Unknown/FL_Week8_38341_G07_0.png,Week8_38341,G07
137,Dmso0.0,Dmso,Inactive,Week8_38341/Inactive/Dmso/FL_Week8_38341_B02_0.png,Week8_38341,B02
138,Pp21.0,Pp2,Inactive,Week8_38341/Inactive/Pp2/FL_Week8_38341_E06_0.png,Week8_38341,E06
139,Bohemine0.6,Bohemine,Inactive,Week8_38341/Inactive/Bohemine/FL_Week8_38341_F06_0.png,Week8_38341,F06
140,Bohemine0.006,Bohemine,Inactive,Week8_38341/Inactive/Bohemine/FL_Week8_38341_F10_0.png,Week8_38341,F10
141,Unknown3.0,Unknown,Inactive,Week8_38341/Inactive/Unknown/FL_Week8_38341_G04_0.png,Week8_38341,G04
142,Filipin0.3,Filipin,Inactive,Week8_38341/Inactive/Filipin/FL_Week8_38341_D06_0.png,Week8_38341,D06
143,Calpeptin0.015,Calpeptin,Inactive,Week8_38341/Inactive/Calpeptin/FL_Week8_38341_B10_0.png,Week8_38341,B10
144,Taxol0.3,Taxol,MT,Week8_38341/MT/Taxol/FL_Week8_38341_F02_0.png,Week8_38341,F02
145,Cyclophosphamide0.15,Cyclophosphamide,Inactive,Week8_38341/Inactive/Cyclophosphamide/FL_Week8_38341_C06_0.png,Week8_38341,C06
146,Taxol0.3,Taxol,MT,Week8_38341/MT/Taxol/FL_Week8_38341_G02_0.png,Week8_38341,G02
147,Taxol0.3,Taxol,MT,Week8_38341/MT/Taxol/FL_Week8_38341_E02_0.png,Week8_38341,E02
148,Unknown0.003,Unknown,Inactive,Week8_38341/Inactive/Unknown/FL_Week8_38341_G10_0.png,Week8_38341,G10
149,Pp23.0,Pp2,Inactive,Week8_38341/Inactive/Pp2/FL_Week8_38341_E05_0.png,Week8_38341,E05
150,Calpeptin50.0,Calpeptin,Inactive,Week8_38341/Inactive/Calpeptin/FL_Week8_38341_B03_0.png,Week8_38341,B03
151,Pp20.03,Pp2,Inactive,Week8_38341/Inactive/Pp2/FL_Week8_38341_E09_0.png,Week8_38341,E09
152,Taxol0.3,Taxol,MT,Week8_38341/MT/Taxol/FL_Week8_38341_C11_0.png,Week8_38341,C11
153,Dmso0.0,Dmso,Inactive,Week8_38341/Inactive/Dmso/FL_Week8_38341_D02_0.png,Week8_38341,D02
154,Dmso0.0,Dmso,Inactive,Week8_38341/Inactive/Dmso/FL_Week8_38341_C02_0.png,Week8_38341,C02
155,Dmso0.0,Dmso,Inactive,Week2_24121/Inactive/Dmso/FL_Week2_24121_E11_0.png,Week2_24121,E11
156,Methotrexate0.03,Methotrexate,DNA,Week2_24121/DNA/Methotrexate/FL_Week2_24121_G08_0.png,Week2_24121,G08
157,Genistein1.0,Genistein,Inactive,Week2_24121/Inactive/Genistein/FL_Week2_24121_F07_0.png,Week2_24121,F07
158,Methotrexate1.0,Methotrexate,Inactive,Week2_24121/Inactive/Methotrexate/FL_Week2_24121_G05_0.png,Week2_24121,G05
159,Genistein0.3,Genistein,Inactive,Week2_24121/Inactive/Genistein/FL_Week2_24121_F08_0.png,Week2_24121,F08
160,Rapamycin0.03,Rapamycin,Inactive,Week2_24121/Inactive/Rapamycin/FL_Week2_24121_E08_0.png,Week2_24121,E08
161,Genistein10.0,Genistein,Inactive,Week2_24121/Inactive/Genistein/FL_Week2_24121_F05_0.png,Week2_24121,F05
162,Taxol0.3,Taxol,MT,Week2_24121/MT/Taxol/FL_Week2_24121_D11_0.png,Week2_24121,D11
163,CytD0.3,CytD,Actin,Week2_24121/Actin/CytD/FL_Week2_24121_B06_0.png,Week2_24121,B06
164,Alln10.0,Alln,Inactive,Week2_24121/Inactive/Alln/FL_Week2_24121_D05_0.png,Week2_24121,D05
165,Methotrexate10.0,Methotrexate,Inactive,Week2_24121/Inactive/Methotrexate/FL_Week2_24121_G03_0.png,Week2_24121,G03
166,Rapamycin0.1,Rapamycin,Inactive,Week2_24121/Inactive/Rapamycin/FL_Week2_24121_E07_0.png,Week2_24121,E07
167,Vinblastine0.1,Vinblastine,MT,Week2_24121/MT/Vinblastine/FL_Week2_24121_C07_0.png,Week2_24121,C07
168,Vinblastine1.0,Vinblastine,MT,Week2_24121/MT/Vinblastine/FL_Week2_24121_C05_0.png,Week2_24121,C05
169,Alln1.0,Alln,Inactive,Week2_24121/Inactive/Alln/FL_Week2_24121_D07_0.png,Week2_24121,D07
170,CytD0.03,CytD,Actin,Week2_24121/Actin/CytD/FL_Week2_24121_B08_0.png,Week2_24121,B08
171,Rapamycin3.0,Rapamycin,Inactive,Week2_24121/Inactive/Rapamycin/FL_Week2_24121_E04_0.png,Week2_24121,E04
172,Methotrexate0.3,Methotrexate,Inactive,Week2_24121/Inactive/Methotrexate/FL_Week2_24121_G06_0.png,Week2_24121,G06
173,Rapamycin0.003,Rapamycin,Inactive,Week2_24121/Inactive/Rapamycin/FL_Week2_24121_E10_0.png,Week2_24121,E10
174,CytD0.1,CytD,Actin,Week2_24121/Actin/CytD/FL_Week2_24121_B07_0.png,Week2_24121,B07
175,Vinblastine10.0,Vinblastine,MT,Week2_24121/MT/Vinblastine/FL_Week2_24121_C03_0.png,Week2_24121,C03
176,Alln100.0,Alln,Inactive,Week2_24121/Inactive/Alln/FL_Week2_24121_D03_0.png,Week2_24121,D03
177,Genistein100.0,Genistein,Kinase,Week2_24121/Kinase/Genistein/FL_Week2_24121_F03_0.png,Week2_24121,F03
178,Alln0.1,Alln,Inactive,Week2_24121/Inactive/Alln/FL_Week2_24121_D09_0.png,Week2_24121,D09
179,Genistein30.0,Genistein,Kinase,Week2_24121/Kinase/Genistein/FL_Week2_24121_F04_0.png,Week2_24121,F04
180,Alln30.0,Alln,Proteasome,Week2_24121/Proteasome/Alln/FL_Week2_24121_D04_0.png,Week2_24121,D04
181,CytD3.0,CytD,Actin,Week2_24121/Actin/CytD/FL_Week2_24121_B04_0.png,Week2_24121,B04
182,Alln0.03,Alln,Inactive,Week2_24121/Inactive/Alln/FL_Week2_24121_D10_0.png,Week2_24121,D10
183,Genistein0.1,Genistein,Inactive,Week2_24121/Inactive/Genistein/FL_Week2_24121_F09_0.png,Week2_24121,F09
184,Dmso0.0,Dmso,Inactive,Week2_24121/Inactive/Dmso/FL_Week2_24121_F11_0.png,Week2_24121,F11
185,CytD0.01,CytD,Inactive,Week2_24121/Inactive/CytD/FL_Week2_24121_B09_0.png,Week2_24121,B09
186,Dmso0.0,Dmso,Inactive,Week2_24121/Inactive/Dmso/FL_Week2_24121_G11_0.png,Week2_24121,G11
187,Alln0.3,Alln,Inactive,Week2_24121/Inactive/Alln/FL_Week2_24121_D08_0.png,Week2_24121,D08
188,Rapamycin10.0,Rapamycin,Inactive,Week2_24121/Inactive/Rapamycin/FL_Week2_24121_E03_0.png,Week2_24121,E03
189,CytD1.0,CytD,Actin,Week2_24121/Actin/CytD/FL_Week2_24121_B05_0.png,Week2_24121,B05
190,Vinblastine0.03,Vinblastine,MT,Week2_24121/MT/Vinblastine/FL_Week2_24121_C08_0.png,Week2_24121,C08
191,Vinblastine3.0,Vinblastine,MT,Week2_24121/MT/Vinblastine/FL_Week2_24121_C04_0.png,Week2_24121,C04
192,Methotrexate0.01,Methotrexate,Inactive,Week2_24121/Inactive/Methotrexate/FL_Week2_24121_G09_0.png,Week2_24121,G09
193,Taxol0.3,Taxol,MT,Week2_24121/MT/Taxol/FL_Week2_24121_B11_0.png,Week2_24121,B11
194,Vinblastine0.003,Vinblastine,MT,Week2_24121/MT/Vinblastine/FL_Week2_24121_C10_0.png,Week2_24121,C10
195,Methotrexate0.1,Methotrexate,DNA,Week2_24121/DNA/Methotrexate/FL_Week2_24121_G07_0.png,Week2_24121,G07
196,Dmso0.0,Dmso,Inactive,Week2_24121/Inactive/Dmso/FL_Week2_24121_B02_0.png,Week2_24121,B02
197,Rapamycin0.3,Rapamycin,Inactive,Week2_24121/Inactive/Rapamycin/FL_Week2_24121_E06_0.png,Week2_24121,E06
198,Genistein3.0,Genistein,Inactive,Week2_24121/Inactive/Genistein/FL_Week2_24121_F06_0.png,Week2_24121,F06
199,Genistein0.03,Genistein,Inactive,Week2_24121/Inactive/Genistein/FL_Week2_24121_F10_0.png,Week2_24121,F10
200,Methotrexate3.0,Methotrexate,Inactive,Week2_24121/Inactive/Methotrexate/FL_Week2_24121_G04_0.png,Week2_24121,G04
201,Alln3.0,Alln,Inactive,Week2_24121/Inactive/Alln/FL_Week2_24121_D06_0.png,Week2_24121,D06
202,CytD0.003,CytD,Inactive,Week2_24121/Inactive/CytD/FL_Week2_24121_B10_0.png,Week2_24121,B10
203,Taxol0.3,Taxol,MT,Week2_24121/MT/Taxol/FL_Week2_24121_F02_0.png,Week2_24121,F02
204,Vinblastine0.01,Vinblastine,MT,Week2_24121/MT/Vinblastine/FL_Week2_24121_C09_0.png,Week2_24121,C09
205,Vinblastine0.3,Vinblastine,MT,Week2_24121/MT/Vinblastine/FL_Week2_24121_C06_0.png,Week2_24121,C06
206,Taxol0.3,Taxol,MT,Week2_24121/MT/Taxol/FL_Week2_24121_G02_0.png,Week2_24121,G02
207,Taxol0.3,Taxol,MT,Week2_24121/MT/Taxol/FL_Week2_24121_E02_0.png,Week2_24121,E02
